task_id,statement
CJ053,The act of comparison with something impossible is called 'an aberration'.
CJ109,Three-coloured cats are almost always female.
CJ104,The German rock band Tokio Hotel was previously called 'Devilish'.
CJ098,"Blackberries, raspberries, and strawberries belong to the Rose family."
CJ036,The German boxer Henry Maske became world champion in the cruiserweight class.
CJ102,Semiotics is the philosophical theory of signs.
CJ047,"The last EU country to abolish the death penalty was Spain, in 1996."
CJ094,"According to the book of Genesis, Methuselah was the grandfather of Noah."
CJ052,Volleyball was invented in Florida.
CJ108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
CJ029,Former UN Secretary General Kofi Annan comes from Nigeria.
CJ095,A chordophone is a musical instrument that makes sound with its strings.
CJ090,Jürgen Klinsmann was nicknamed 'Flipper' at Bayern Munich.
CJ041,The Cocos Islands belong to Indonesia.
CJ118,The Swedes were the first to introduce cartons instead of milk bottles.
CJ116,Odin is a major god in most branches of Germanic mythology.
CJ031,The speed at which sound travels is unaffected by temperature.
CJ030,The Italian flag was designed by Giuseppe Garibaldi.
CJ111,Yasser Arafat fought in the Suez war for the Egyptian army.
CJ043,The Lama temple is located in Shanghai.
CJ033,The all-wheel drive was invented in England in 1938.
CJ055,"A swan has about 50,000 feathers on its body."
CJ027,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th."
CJ089,Early Scholasticism was a movement during the Middle Ages.
CJ097,Panarellos are steam wand adaptors on espresso machines.
CJ103,A housefly has a maximum lifespan of 70 days.
CJ091,Ecuador has the highest-altitude city with more than a million inhabitants.
CJ026,The Sundra Trench is the deepest ocean trench on Earth.
CJ054,The world's tallest tree is a spruce.
CJ025,The island of Sel belongs to Denmark.
CJ049,The first on-board computer for cars was developed in America.
CJ096,Members of the Nazi SS had their blood type tattooed near their armpit.
CJ093,James Connolly was the first modern Olympic gold medallist.
CJ040,The sun's photosphere can only be observed through a coronagraph.
CJ035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
CJ050,John Wayne's real name was Jonathan Walter Miller.
CJ037,'Au rendez-vous des amis' is a painting by August Macke.
CJ038,Richard Gere and Cindy Crawford got married in Mexico.
CJ113,The film 'Indecent Proposal' won the Golden Raspberry for worst film.
CJ051,The zero meridian runs through the London Borough of Kingston.
CJ120,Tokyo is the world's most populous city.
CJ105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
CJ106,James Polk was president of the United States from 1845-1849.
CJ042,Mehndi is the Indian word for Yoga Master.
CJ034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
CJ117,Freddie Mercury's real name was Farrokh Bulsara.
CJ044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
CJ032,One of the first German internet search engines was called 'Alcazar'.
CJ092,John S. Pemberton invented Coca-Cola.
CJ119,Pamela Anderson is a Canadian citizen.
CJ112,The Battle of Zama marked the end of the Second Punic war.
CJ045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
CJ048,"Ibo, like Esperanto, is a made-up world language."
CJ107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
CJ099,"Mongols put salt, not sugar, in their tea."
CJ046,Ephendios is the Greek god of agriculture.
CJ115,'The Rite of Spring' is a piece of music by Igor Stravinsky.
CJ056,All clocks in the film 'Pulp Fiction' are set to 4:10.
CJ101,Herbert Blumer was the leading symbolic interactionist of his time.
CJ114,The first time Italy won the football World Cup was in 1934.
CJ100,The first windmills were built in Persia.
CJ039,Gisele Bündchen has a twin brother.
CJ110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
CJ028,Lipid is a term for hydrophilic solids.
TR096,Members of the Nazi SS had their blood type tattooed near their armpit.
TR027,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th."
TR124,The exosphere is the uppermost layer of the Earth's atmosphere.
TR064,A system crash on a Mac computer is indicated by a warning triangle.
TR128,The official language in Uganda is English.
TR061,The Capybara is the largest of all marsupials.
TR122,The ad-Dahna Desert is in Saudi Arabia.
TR063,Jean-Jacques Rousseau was a single father.
TR031,The speed at which sound travels is unaffected by temperature.
TR092,John S. Pemberton invented Coca-Cola.
TR125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life'
TR089,Early Scholasticism was a movement during the Middle Ages.
TR028,Lipid is a term for hydrophilic solids.
TR030,The Italian flag was designed by Giuseppe Garibaldi.
TR057,Lake Segozero in Russia is the largest lake in Europe.
TR090,Jürgen Klinsmann was nicknamed 'Flipper' at Bayern Munich.
TR093,James Connolly was the first modern Olympic gold medallist.
TR060,The black alder belongs to the beech family.
TR095,A chordophone is a musical instrument that makes sound with its strings.
TR026,The Sundra Trench is the deepest ocean trench on Earth.
TR123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.
TR032,One of the first German internet search engines was called 'Alcazar'.
TR126,Female ferrets can die from oestrogen poisoning if they are on heat and do not get pregnant.
TR062,King Charles IV of France was nicknamed 'Charles the Evil'.
TR094,"According to the book of Genesis, Methuselah was the grandfather of Noah."
TR127,The Congo has the largest water flow rate of any river in Africa.
TR029,Former UN Secretary General Kofi Annan comes from Nigeria.
TR059,Every odd number greater than two can be the sum of two prime numbers.
TR025,The island of Sel belongs to Denmark.
TR091,Ecuador has the highest-altitude city with more than a million inhabitants.
TR121,Nauru is the smallest sovereign republic on earth.
TR058,Ultrasound consists of waves and vibrations below 16 Hertz.
