task_id,statement
CJ061,The Capybara is the largest of all marsupials.
CJ085,"In discus, the throwing circle is 2.5m wide."
CJ080,Only about two percent of the world's population is naturally blonde.
CJ088,The national motto of India is 'Truth alone triumphs'.
CJ122,The ad-Dahna Desert is in Saudi Arabia.
CJ017,The casing on the first Apple computer was made of aluminium.
CJ066,Canada has the world's longest coastline.
CJ015,The activity of a radioactive substance is measured in Sievert.
CJ086,The area between the eyebrows is called the Glabella.
CJ006,Socrates was Alexander the Great's teacher.
CJ004,The air pump is a French invention.
CJ070,The Yukon is the third longest river in the United States.
CJ071,The mathematician Leonhard Euler's Latin squares were the earliest precursors to Sudoku.
CJ083,Albert Einstein married his cousin.
CJ009,Parema Lapis is a type of parasite.
CJ012,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels."
CJ010,Theodore Fontane published his first novel at the age of 35.
CJ062,King Charles IV of France was nicknamed 'Charles the Evil'.
CJ077,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.'
CJ069,Tigers not only have striped fur but also striped skin.
CJ081,'In varietate concordia' is the official motto of the European Union.
CJ018,'Cum hoc ergo propter hoc' is an example of syllogistic reasoning.
CJ087,Inorganic pigments are also called 'mineral colours'.
CJ072,The band 'Oasis' named itself after a leisure centre.
CJ058,Ultrasound consists of waves and vibrations below 16 Hertz.
CJ073,"In ancient Roman religion, the Penates were household deities."
CJ003,The fourth man on the moon was Charles P. Conrad.
CJ007,The capital of Madagascar is Toamasina.
CJ063,Jean-Jacques Rousseau was a single father.
CJ011,The Prophet Muhammad worked as a doctor before his religious calling.
CJ128,The official language in Uganda is English.
CJ125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life'
CJ022,Androphobia is a fear of other people.
CJ060,The black alder belongs to the beech family.
CJ024,The Barringer Crater is located in the moon's northern hemisphere.
CJ065,The peace treaty ending the Franco-German War was signed in Frankfurt.
CJ057,Lake Segozero in Russia is the largest lake in Europe.
CJ002,Sac fungi belong to the Protista family.
CJ082,The world's biggest cemetery is in Bahrain.
CJ075,Manama is the capital of Bahrain.
CJ020,The Spanish ex-dictator Francisco Franco was nicknamed 'Conducator'.
CJ016,The standard base unit of time is milliseconds.
CJ068,Alberto Fujimori served as president of Peru from 1990 − 2000.
CJ124,The exosphere is the uppermost layer of the Earth's atmosphere.
CJ076,Bolivia has the highest-altitude seat of government in the world.
CJ064,A system crash on a Mac computer is indicated by a warning triangle.
CJ126,Female ferrets can die from oestrogen poisoning if they are on heat and do not get pregnant.
CJ059,Every odd number greater than two can be the sum of two prime numbers.
CJ079,The Slavonia was the first ship to use the SOS distress signal.
CJ067,"In men, excessive sex drive is not called nymphomania, but satyriasis."
CJ084,Sesame seeds come in many different colours.
CJ008,Valparaiso is one of Angola's biggest cities.
CJ005,A galactic year takes 2500 terrestrial years.
CJ019,Volcanoes can reach a maximum height of about 5000 metres.
CJ127,The Congo has the largest water flow rate of any river in Africa.
CJ123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.
CJ001,The natural red dye in the shells of crustaceans is called xanthophyll.
CJ078,The Ising model is a mathematical model of ferromagnetism.
CJ021,"According to the WHO, cancer is the leading cause of death."
CJ014,Pope Pius IX was Pope Leo XIII's successor.
CJ023,The Morda is a river in Germany.
CJ121,Nauru is the smallest sovereign republic on earth.
CJ013,11.9% of the earth's surface is 1000 meters above sea level.
CJ074,Lubaantun is a ruined Mayan city in Belize.
TR060,The black alder belongs to the beech family.
TR063,Jean-Jacques Rousseau was a single father.
TR093,James Connolly was the first modern Olympic gold medallist.
TR125,The name BenQ stands for 'Bringing Enjoyment and Quality to Life'
TR091,Ecuador has the highest-altitude city with more than a million inhabitants.
TR123,A polo game is divided into periods of 7.5 minutes called 'chukkas'.
TR059,Every odd number greater than two can be the sum of two prime numbers.
TR090,Jürgen Klinsmann was nicknamed 'Flipper' at Bayern Munich.
TR096,Members of the Nazi SS had their blood type tattooed near their armpit.
TR094,"According to the book of Genesis, Methuselah was the grandfather of Noah."
TR058,Ultrasound consists of waves and vibrations below 16 Hertz.
TR061,The Capybara is the largest of all marsupials.
TR029,Former UN Secretary General Kofi Annan comes from Nigeria.
TR031,The speed at which sound travels is unaffected by temperature.
TR026,The Sundra Trench is the deepest ocean trench on Earth.
TR032,One of the first German internet search engines was called 'Alcazar'.
TR064,A system crash on a Mac computer is indicated by a warning triangle.
TR126,Female ferrets can die from oestrogen poisoning if they are on heat and do not get pregnant.
TR092,John S. Pemberton invented Coca-Cola.
TR028,Lipid is a term for hydrophilic solids.
TR095,A chordophone is a musical instrument that makes sound with its strings.
TR089,Early Scholasticism was a movement during the Middle Ages.
TR062,King Charles IV of France was nicknamed 'Charles the Evil'.
TR027,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th."
TR124,The exosphere is the uppermost layer of the Earth's atmosphere.
TR057,Lake Segozero in Russia is the largest lake in Europe.
TR127,The Congo has the largest water flow rate of any river in Africa.
TR121,Nauru is the smallest sovereign republic on earth.
TR122,The ad-Dahna Desert is in Saudi Arabia.
TR025,The island of Sel belongs to Denmark.
TR030,The Italian flag was designed by Giuseppe Garibaldi.
TR128,The official language in Uganda is English.
