task_id,statement
TR016,The standard base unit of time is milliseconds.
TR046,Ephendios is the Greek god of agriculture.
TR076,Bolivia has the highest-altitude seat of government in the world.
TR112,The Battle of Zama marked the end of the Second Punic war.
TR111,Yasser Arafat fought in the Suez war for the Egyptian army.
TR109,Three-coloured cats are almost always female.
TR045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
TR015,The activity of a radioactive substance is measured in Sievert.
TR014,Pope Pius IX was Pope Leo XIII's successor.
TR077,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.'
TR075,Manama is the capital of Bahrain.
TR106,James Polk was president of the United States from 1845-1849.
TR108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
TR048,"Ibo, like Esperanto, is a made-up world language."
TR079,The Slavonia was the first ship to use the SOS distress signal.
TR010,Theodore Fontane published his first novel at the age of 35.
TR073,"In ancient Roman religion, the Penates were household deities."
TR043,The Lama temple is located in Shanghai.
TR012,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels."
TR107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
TR044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
TR011,The Prophet Muhammad worked as a doctor before his religious calling.
TR013,11.9% of the earth's surface is 1000 meters above sea level.
TR110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
TR009,Parema Lapis is a type of parasite.
TR074,Lubaantun is a ruined Mayan city in Belize.
TR042,Mehndi is the Indian word for Yoga Master.
TR041,The Cocos Islands belong to Indonesia.
TR080,Only about two percent of the world's population is naturally blonde.
TR047,"The last EU country to abolish the death penalty was Spain, in 1996."
TR078,The Ising model is a mathematical model of ferromagnetism.
TR105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
