task_id,statement
CJ017,The casing on the first Apple computer was made of aluminium.
CJ090,Jürgen Klinsmann was nicknamed 'Flipper' at Bayern Munich.
CJ079,The Slavonia was the first ship to use the SOS distress signal.
CJ034,The first UN Secretary-General was Dag Hammarskjöld from Sweden.
CJ100,The first windmills were built in Persia.
CJ087,Inorganic pigments are also called 'mineral colours'.
CJ016,The standard base unit of time is milliseconds.
CJ019,Volcanoes can reach a maximum height of about 5000 metres.
CJ028,Lipid is a term for hydrophilic solids.
CJ039,Gisele Bündchen has a twin brother.
CJ091,Ecuador has the highest-altitude city with more than a million inhabitants.
CJ097,Panarellos are steam wand adaptors on espresso machines.
CJ084,Sesame seeds come in many different colours.
CJ073,"In ancient Roman religion, the Penates were household deities."
CJ099,"Mongols put salt, not sugar, in their tea."
CJ103,A housefly has a maximum lifespan of 70 days.
CJ031,The speed at which sound travels is unaffected by temperature.
CJ101,Herbert Blumer was the leading symbolic interactionist of his time.
CJ093,James Connolly was the first modern Olympic gold medallist.
CJ088,The national motto of India is 'Truth alone triumphs'.
CJ025,The island of Sel belongs to Denmark.
CJ083,Albert Einstein married his cousin.
CJ023,The Morda is a river in Germany.
CJ080,Only about two percent of the world's population is naturally blonde.
CJ026,The Sundra Trench is the deepest ocean trench on Earth.
CJ076,Bolivia has the highest-altitude seat of government in the world.
CJ009,Parema Lapis is a type of parasite.
CJ036,The German boxer Henry Maske became world champion in the cruiserweight class.
CJ021,"According to the WHO, cancer is the leading cause of death."
CJ020,The Spanish ex-dictator Francisco Franco was nicknamed 'Conducator'.
CJ040,The sun's photosphere can only be observed through a coronagraph.
CJ014,Pope Pius IX was Pope Leo XIII's successor.
CJ029,Former UN Secretary General Kofi Annan comes from Nigeria.
CJ015,The activity of a radioactive substance is measured in Sievert.
CJ104,The German rock band Tokio Hotel was previously called 'Devilish'.
CJ074,Lubaantun is a ruined Mayan city in Belize.
CJ082,The world's biggest cemetery is in Bahrain.
CJ038,Richard Gere and Cindy Crawford got married in Mexico.
CJ010,Theodore Fontane published his first novel at the age of 35.
CJ095,A chordophone is a musical instrument that makes sound with its strings.
CJ094,"According to the book of Genesis, Methuselah was the grandfather of Noah."
CJ024,The Barringer Crater is located in the moon's northern hemisphere.
CJ078,The Ising model is a mathematical model of ferromagnetism.
CJ085,"In discus, the throwing circle is 2.5m wide."
CJ011,The Prophet Muhammad worked as a doctor before his religious calling.
CJ037,'Au rendez-vous des amis' is a painting by August Macke.
CJ077,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.'
CJ030,The Italian flag was designed by Giuseppe Garibaldi.
CJ098,"Blackberries, raspberries, and strawberries belong to the Rose family."
CJ081,'In varietate concordia' is the official motto of the European Union.
CJ013,11.9% of the earth's surface is 1000 meters above sea level.
CJ018,'Cum hoc ergo propter hoc' is an example of syllogistic reasoning.
CJ012,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels."
CJ022,Androphobia is a fear of other people.
CJ027,"In Greece, it is not Friday the 13th that is cursed, but Wednesday the 13th."
CJ092,John S. Pemberton invented Coca-Cola.
CJ086,The area between the eyebrows is called the Glabella.
CJ102,Semiotics is the philosophical theory of signs.
CJ035,The Prussian King Augustus I the Strong was nicknamed the Soldier King.
CJ032,One of the first German internet search engines was called 'Alcazar'.
CJ089,Early Scholasticism was a movement during the Middle Ages.
CJ075,Manama is the capital of Bahrain.
CJ033,The all-wheel drive was invented in England in 1938.
CJ096,Members of the Nazi SS had their blood type tattooed near their armpit.
TR106,James Polk was president of the United States from 1845-1849.
TR105,Mount Waialeale in Hawaii is one of the rainiest spots on earth.
TR077,The only image that Van Gogh sold during his lifetime was 'The Red Vineyard.'
TR043,The Lama temple is located in Shanghai.
TR112,The Battle of Zama marked the end of the Second Punic war.
TR041,The Cocos Islands belong to Indonesia.
TR045,The Castle-Taubig Thesis makes predictions about the capacity of a calculating machine.
TR009,Parema Lapis is a type of parasite.
TR074,Lubaantun is a ruined Mayan city in Belize.
TR047,"The last EU country to abolish the death penalty was Spain, in 1996."
TR080,Only about two percent of the world's population is naturally blonde.
TR109,Three-coloured cats are almost always female.
TR110,The Wandering Spider native to South America is one of the three most poisonous species in the world.
TR016,The standard base unit of time is milliseconds.
TR042,Mehndi is the Indian word for Yoga Master.
TR044,The Sea of Galilee is the lowest-lying body of standing water on Earth.
TR013,11.9% of the earth's surface is 1000 meters above sea level.
TR048,"Ibo, like Esperanto, is a made-up world language."
TR079,The Slavonia was the first ship to use the SOS distress signal.
TR015,The activity of a radioactive substance is measured in Sievert.
TR107,The Battle of Trafalgar (21 October 1805) was part of the War of the Third Coalition.
TR010,Theodore Fontane published his first novel at the age of 35.
TR011,The Prophet Muhammad worked as a doctor before his religious calling.
TR012,"According to EU regulations, the volume of an iPhone must not exceed 80 decibels."
TR014,Pope Pius IX was Pope Leo XIII's successor.
TR111,Yasser Arafat fought in the Suez war for the Egyptian army.
TR046,Ephendios is the Greek god of agriculture.
TR108,"Jimi Hendrix was born November 27th, 1942 in Seattle, Washington."
TR078,The Ising model is a mathematical model of ferromagnetism.
TR076,Bolivia has the highest-altitude seat of government in the world.
TR075,Manama is the capital of Bahrain.
TR073,"In ancient Roman religion, the Penates were household deities."
