task_id,statement
TR023,The Morda is a river in Germany.
TR117,Freddie Mercury's real name was Farrokh Bulsara.
TR051,The zero meridian runs through the London Borough of Kingston.
TR116,Odin is a major god in most branches of Germanic mythology.
TR054,The world's tallest tree is a spruce.
TR022,Androphobia is a fear of other people.
TR053,The act of comparison with something impossible is called 'an aberration'.
TR050,John Wayne's real name was Jonathan Walter Miller.
TR052,Volleyball was invented in Florida.
TR087,Inorganic pigments are also called 'mineral colours'.
TR118,The Swedes were the first to introduce cartons instead of milk bottles.
TR114,The first time Italy won the football World Cup was in 1934.
TR018,'Cum hoc ergo propter hoc' is an example of syllogistic reasoning.
TR024,The Barringer Crater is located in the moon's northern hemisphere.
TR017,The casing on the first Apple computer was made of aluminium.
TR119,Pamela Anderson is a Canadian citizen.
TR085,"In discus, the throwing circle is 2.5m wide."
TR081,'In varietate concordia' is the official motto of the European Union.
TR086,The area between the eyebrows is called the Glabella.
TR120,Tokyo is the world's most populous city.
TR056,All clocks in the film 'Pulp Fiction' are set to 4:10.
TR049,The first on-board computer for cars was developed in America.
TR115,'The Rite of Spring' is a piece of music by Igor Stravinsky.
TR113,The film 'Indecent Proposal' won the Golden Raspberry for worst film.
TR020,The Spanish ex-dictator Francisco Franco was nicknamed 'Conducator'.
TR084,Sesame seeds come in many different colours.
TR082,The world's biggest cemetery is in Bahrain.
TR019,Volcanoes can reach a maximum height of about 5000 metres.
TR083,Albert Einstein married his cousin.
TR021,"According to the WHO, cancer is the leading cause of death."
TR088,The national motto of India is 'Truth alone triumphs'.
TR055,"A swan has about 50,000 feathers on its body."
